	Gene ID	source_id	Input Order	Input ID	Product Description	Gene Name or Symbol	Apollo Product Description	PFam ID	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Process IDs	Computed GO Functions	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Functions	Curated GO Function IDs	Curated GO Process IDs	Curated GO Processes	UniProt ID(s)
0	PF3D7_0105700	PF3D7_0105700.1	1	PF3D7_0105700	asparagine-rich antigen Pfa35-2		None								GO:0048188;GO:0005634	Set1C/COMPASS complex;nucleus	mRNA binding	GO:0003729	GO:0051568	histone H3-K4 methylation	Q03628,Q8I284
1	PF3D7_0106400	PF3D7_0106400.1	2	PF3D7_0106400	pre-rRNA-processing protein TSR2, putative		None	PF10273											GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Q8I278
2	PF3D7_0107900	PF3D7_0107900.1	163	PF3D7_0107900	conserved Plasmodium protein, unknown function		None								GO:0020011	apicoplast					Q8I262
3	PF3D7_0108300	PF3D7_0108300.1	164	PF3D7_0108300	conserved Plasmodium protein, unknown function	ARP	None								GO:0030430;GO:0044228	host cell cytoplasm;host cell surface	mRNA binding	GO:0003729			O96422,Q8I259
4	PF3D7_0109600	PF3D7_0109600.1	165	PF3D7_0109600	cold-shock protein	CoSP	None	PF00313			GO:0003676		nucleic acid binding		GO:0005737;GO:0005829	cytoplasm;cytosol	RNA binding;alpha-tubulin binding;beta-tubulin binding;double-stranded DNA binding;mRNA 3'-UTR binding	GO:0003723;GO:0043014;GO:0048487;GO:0003690;GO:0003730	GO:0035556;GO:0043488;GO:0006355;GO:0009410	intracellular signal transduction;regulation of mRNA stability;regulation of transcription, DNA-templated;response to xenobiotic stimulus	Q8I248
5	PF3D7_0109700	PF3D7_0109700.1	166	PF3D7_0109700	rRNA biogenesis protein RRP36, putative	RRP36	None	PF06102				GO:0000469		cleavage involved in rRNA processing	GO:0030686;GO:0005730	90S preribosome;nucleolus			GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Q8I247
6	PF3D7_0110800	PF3D7_0110800.1	3	PF3D7_0110800	transcription initiation factor TFIIB, putative		None	PF08271			GO:0046872;GO:0003743	GO:0006352;GO:0070897	metal ion binding;translation initiation factor activity	DNA-templated transcription, initiation;transcription preinitiation complex assembly	GO:0005634;GO:0097550;GO:0005667	nucleus;transcription preinitiation complex;transcription regulator complex	RNA polymerase II complex binding;RNA polymerase II complex recruiting activity;RNA polymerase II core promoter sequence-specific DNA binding;TBP-class protein binding;transcription factor binding	GO:0000993;GO:0001139;GO:0000979;GO:0017025;GO:0008134	GO:0006352;GO:0051123;GO:0006367;GO:0001174	DNA-templated transcription, initiation;RNA polymerase II preinitiation complex assembly;transcription initiation from RNA polymerase II promoter;transcriptional start site selection at RNA polymerase II promoter	Q8I237
7	PF3D7_0111800	PF3D7_0111800.1	167	PF3D7_0111800	eukaryotic translation initiation factor 4E, putative		None	PF01652			GO:0003723;GO:0003743	GO:0006413	RNA binding;translation initiation factor activity	translational initiation	GO:0016281;GO:0005634	eukaryotic translation initiation factor 4F complex;nucleus	RNA 7-methylguanosine cap binding;translation initiation factor activity	GO:0000340;GO:0003743			B9ZSJ0
8	PF3D7_0201800	PF3D7_0201800.1	4	PF3D7_0201800	knob associated heat shock protein 40	KAHsp40	None	PF00226;PF01556			GO:0051082	GO:0006457	unfolded protein binding	protein folding	GO:0020036;GO:0005829;GO:0020030;GO:0005634	Maurer's cleft;cytosol;infected host cell surface knob;nucleus	chaperone binding;protein binding;unfolded protein binding	GO:0051087;GO:0005515;GO:0051082	GO:0051085	chaperone cofactor-dependent protein refolding	O96123
9	PF3D7_0205700	PF3D7_0205700.1	168	PF3D7_0205700	RNA-binding protein, putative		None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding								O96152
